Countries,Indicators,,2010,2011,2012,2013,2014,2015,2016,2017
Burkina Faso,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5.8929596,5.2297330,5.1779690,6.2564859,5.6249161,5.8253007,7.0131245,6.9150596
Burkina Faso,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,30.1687336,32.8817024,32.3835678,33.5373306,34.0784760,36.0298004,31.3830948,31.6775951
Burkina Faso,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,41.4240494,32.6249504,38.2104530,29.5110855,23.6042862,24.6707916,23.4766579,17.9969978
Burkina Faso,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1.4692056,1.5144671,1.1975552,1.8132603,1.8300821,1.6529336,2.8111219,2.9943547
Burkina Faso,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,24.3555470,22.9904423,25.5012665,28.4080181,23.5420227,23.1094647,25.4769058,29.9690018
Burkina Faso,Gross Domestic Product (GDP) per Capita in PPP Int$,,"1,394.2526061","1,472.7159497","1,550.6339346","1,620.7804814","1,672.1315136","1,704.9087678","1,773.7413154","1,866.4230308"
Burundi,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,11.2763758,10.0699778,8.5266848,8.1425552,6.8892770,6.5785689,7.4921608,7.5175705
Burundi,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,28.2003079,25.4752426,22.6936646,21.0843945,29.9224529,30.8293705,25.2166691,25.4629765
Burundi,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,42.9030304,26.7016583,28.7517242,43.4757958,12.8036413,9.5728970,32.1072159,31.0363922
Burundi,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1.9852897,3.4710805,2.6694911,1.4696262,2.5698953,2.4996247,1.8034482,1.8578868
Burundi,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,40.8440437,42.1868172,37.5440102,33.1617165,31.7776566,27.1773243,21.1637573,21.8026047
Burundi,Gross Domestic Product (GDP) per Capita in PPP Int$,,711.2281698,732.2619344,756.3913879,821.9766924,876.3389158,736.8673768,786.1634381,787.3377307
Cabo Verde Republic of,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4.4755573,4.3052745,5.1336546,5.2899423,5.3272224,4.8186092,4.8432541,5.1654887
Cabo Verde Republic of,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,28.0819321,25.8929291,24.5681915,24.2501450,25.6990528,27.7576714,28.7130241,28.8964787
Cabo Verde Republic of,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,6.0423794,4.7182374,12.9990921,15.2736931,15.0630102,4.0904059,5.0664172,8.3006392
Cabo Verde Republic of,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2.8310132,2.8650193,3.0749183,3.0559034,3.0434806,3.1735025,3.0794280,3.1119349
Cabo Verde Republic of,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,39.1595497,33.2839851,34.6861687,33.8433418,30.4864140,31.4475842,29.6407337,31.5769138
Cabo Verde Republic of,Gross Domestic Product (GDP) per Capita in PPP Int$,,"5,709.0058076","5,991.7785281","6,101.7478203","6,184.9489951","6,264.2454523","6,317.2509191","6,604.4798080","6,912.6416714"
Cameroon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4.5039177,3.3988416,4.5420227,4.5031800,4.5342794,4.6995235,4.6790791,4.6706667
Cameroon,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,71.7398071,51.4438629,70.2673492,71.4027786,70.8786240,69.7441254,69.6669006,70.9576035
Cameroon,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,5.4071884,14.3691196,7.1080675,6.1449356,9.2245827,7.8988671,9.2650156,7.7140994
Cameroon,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0.8122172,1.1189213,0.6605333,0.6421505,0.5320150,0.6795618,0.6177820,0.6220197
Cameroon,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,15.9628611,18.6091461,17.7724018,20.0219250,20.7831821,20.9004688,20.9082108,19.8271790
Cameroon,Gross Domestic Product (GDP) per Capita in PPP Int$,,"2,869.8793202","2,969.0478017","3,079.1469745","3,215.0767941","3,377.5748672","3,512.6672284","3,620.2850478","3,722.4306838"
Central African Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3.7420328,3.8226557,3.8741667,4.8433456,4.8532491,6.3089914,4.2815013,5.8217754
Central African Republic,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,46.4359589,44.7936173,43.3077927,48.7446060,41.2100449,29.9810581,43.0794182,31.1890984
Central African Republic,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,23.6808434,32.0063667,29.2314014,37.0839577,38.7554932,60.9428520,41.0979080,55.1813011
Central African Republic,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1.0647636,0.8336728,1.0114259,0.6330548,0.9136481,0.5216813,0.6297261,0.7465050
Central African Republic,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,18.6019516,15.7003183,16.3655891,14.9211187,20.0199776,14.9457035,12.5716047,14.8267117
Central African Republic,Gross Domestic Product (GDP) per Capita in PPP Int$,,863.1147769,904.6113521,956.8254672,615.0371624,630.9833584,663.8265042,694.1751437,721.2467763
Chad,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4.0602317,3.9104662,3.8560774,4.0664516,4.2731686,4.5239544,4.9571133,4.4873014
Chad,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,67.5845413,60.7701607,59.4282227,58.6379547,55.7212067,56.7242088,55.9865952,58.0231590
Chad,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,5.9483066,12.4317503,10.5833283,8.2795887,10.5021792,17.0100594,22.3106251,21.0552349
Chad,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0.8517990,0.8374620,0.9554654,1.1361994,1.2344651,0.9619843,0.8311253,0.7092437
Chad,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,24.3544693,22.3683472,23.8787518,22.8049126,21.9778976,18.3402405,14.5174027,15.1600809
Chad,Gross Domestic Product (GDP) per Capita in PPP Int$,,"1,890.1228884","1,865.8654310","2,006.2934745","2,087.9731115","2,203.6511686","2,207.6546440","2,028.0419676","1,945.4575721"
Comoros,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8.5149612,9.0987091,7.9280801,7.7668796,7.5846806,7.7752223,7.4866476,7.3843741
Comoros,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,78.7399979,70.3969574,78.2103577,76.4263840,76.7101135,75.2803268,72.6651306,74.6471252
Comoros,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,10.5727978,9.8561134,9.1239233,9.5851994,9.4405155,9.6368055,10.8173876,11.1131697
Comoros,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0.7773897,1.6622801,0.8710022,0.9570096,0.9263249,1.0498985,1.1224446,0.9413624
Comoros,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,22.1467533,22.1223946,25.3311958,25.1656361,24.3508930,27.5985413,30.8882275,27.9749451
Comoros,Gross Domestic Product (GDP) per Capita in PPP Int$,,"1,423.6718220","1,472.9320559","1,484.7843570","1,547.9485039","1,592.4152073","1,568.1659506","1,605.3296715","1,668.1088811"
Congo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,1.9805746,1.8515351,2.4743331,2.4884679,2.5074198,3.4153521,3.4869471,2.9302793
Congo,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,42.1544685,41.0913467,29.7379913,30.6525860,31.1863155,32.4601173,46.2118607,48.4012413
Congo,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,11.7349844,20.9631062,26.3597374,19.8440781,18.1732464,18.9143620,5.6875653,7.5353794
Congo,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0.8860283,0.6881970,1.0610621,1.1993091,1.2033751,1.5554308,1.5713238,1.1936714
Congo,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,24.5975342,29.4500790,39.7206230,54.2799187,61.7126007,57.4000130,54.4648590,35.1238327
Congo,Gross Domestic Product (GDP) per Capita in PPP Int$,,"5,195.7927625","5,348.3793438","5,363.7717242","5,489.0145753","5,810.5664044","5,917.0533418","4,883.3478652","5,624.9342141"
Côte d'Ivoire,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6.1036701,6.0779076,6.1198802,5.1389670,5.1573253,4.4219818,4.5362225,4.4530344
Côte d'Ivoire,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,58.5143013,59.2072983,52.7981148,56.1593247,51.1434212,42.8667336,40.1471100,39.3607445
Côte d'Ivoire,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,10.5681505,12.1910181,15.6524983,8.7100315,13.4716911,13.1675139,14.9798822,13.0825043
Côte d'Ivoire,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0.8122255,0.8014967,1.0312841,1.0060647,1.0748680,1.0831734,1.1538460,1.2673425
Côte d'Ivoire,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,19.9952622,18.2420254,22.3124847,21.9191551,21.0294361,22.8112450,23.9571171,24.8715630
Côte d'Ivoire,Gross Domestic Product (GDP) per Capita in PPP Int$,,"2,635.2099867","2,539.9309809","2,764.3977206","2,986.5899291","3,227.6785742","3,461.9890622","3,685.1650260","3,944.7512350"
Democratic Republic of the Congo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4.0192761,3.4316406,3.5675294,3.5650923,3.9794116,3.9419956,3.8874250,3.9787228
Democratic Republic of the Congo,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,37.0496941,38.8251038,39.6349564,39.4329681,38.7164078,37.1788330,37.2776909,40.1247215
Democratic Republic of the Congo,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,44.8003845,45.1138458,38.6278000,40.1457672,40.1953278,39.6730385,43.2499809,42.4730721
Democratic Republic of the Congo,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0.4142302,0.3724381,0.5664665,0.4982188,0.5509024,0.6531131,0.4906126,0.3958435
Democratic Republic of the Congo,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,16.4919071,14.6134968,14.5033913,12.6715822,18.4901161,16.9990768,12.7313614,11.8904028
Democratic Republic of the Congo,Gross Domestic Product (GDP) per Capita in PPP Int$,,618.9708577,649.0773524,677.2987119,769.1059873,829.8650279,879.5052030,976.7767273,938.2968483
Equatorial Guinea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,1.8186286,1.5535752,1.2635739,1.8756704,2.1929293,2.9153397,3.1571844,3.1070943
Equatorial Guinea,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,66.1926651,64.3409271,48.6562386,71.6653748,74.4810638,77.1467514,74.4638138,76.7920151
Equatorial Guinea,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,4.3568316,4.3231869,3.3757453,1.1929059,0.3571423,1.2452844,1.1892321,1.9875401
Equatorial Guinea,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0.4537103,0.4049457,0.5242340,0.4272112,0.4709381,0.5543937,0.6944858,0.5851469
Equatorial Guinea,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,31.1788864,27.4925442,35.1996536,29.2735958,31.5979099,41.6477890,27.8184509,19.8799801
Equatorial Guinea,Gross Domestic Product (GDP) per Capita in PPP Int$,,"33,033.3173140","34,363.1557567","36,315.4094713","33,949.4309678","33,330.4681449","29,420.6474824","26,113.0223192","24,425.8755673"
Eritrea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3.4558692,4.1487274,2.9387500,2.8347583,2.8187714,2.8643432,2.9081245,2.8700235
Eritrea,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,52.8378830,38.4758644,53.9794197,54.9022369,55.2090721,58.4534721,58.3383369,59.1215248
Eritrea,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,31.8711319,47.9582062,24.6953449,34.5677033,32.7915192,29.0527782,11.9285183,13.6294174
Eritrea,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0.5284364,0.5628133,0.6266954,0.2985017,0.3382359,0.3578638,0.8646768,0.7820544
Eritrea,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,35.0506897,33.8526344,31.0204868,30.8216000,29.9872017,29.5850544,29.6172581,29.2167397
Eritrea,Gross Domestic Product (GDP) per Capita in PPP Int$,,"1,387.7367278","1,511.3630797","1,597.9367299","1,661.9071241","1,691.6325097","1,707.3354267","1,869.7253521","2,065.2667679"
Eswatini,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8.5912581,8.4699726,7.9219737,7.5173216,7.3317251,7.1269445,6.8177757,6.9303780
Eswatini,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,10.4554215,10.4833450,10.5081940,10.5304489,10.5504952,10.5686474,10.5851622,10.4967461
Eswatini,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,25.5474739,32.0387497,30.9579220,29.9504852,36.7204056,32.6674881,32.6483116,23.7460976
Eswatini,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,4.2280903,3.6115587,3.4576635,3.3518043,2.7683284,2.9760087,2.8448679,3.5168424
Eswatini,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,30.7351437,25.2956982,27.3229981,28.7459698,32.5270996,34.0761108,36.3981171,35.0976028
Eswatini,Gross Domestic Product (GDP) per Capita in PPP Int$,,"7,147.1714702","7,323.9701336","7,673.2823472","8,156.9390773","8,317.0513746","8,285.9006831","8,491.3642439","8,659.2207291"
Ethiopia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5.4663720,4.4689779,4.5395961,4.0750651,4.0336323,3.9449203,3.8511946,3.5025575
Ethiopia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,42.2902107,46.5378914,42.1674538,42.4040680,38.4741249,35.6094971,33.6999893,34.4089890
Ethiopia,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,34.4452019,37.5288696,27.9482098,23.2760658,23.4348545,20.9343224,24.6773930,22.1113377
Ethiopia,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0.9438094,0.3811111,1.0664527,1.0994865,0.7147922,0.9654076,0.9156860,0.8737192
Ethiopia,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,18.4832993,18.2280769,16.6482887,17.7558270,17.4836674,17.3257256,18.2246590,18.2468205
Ethiopia,Gross Domestic Product (GDP) per Capita in PPP Int$,,"1,052.0352735","1,162.7843378","1,254.1751362","1,374.8931943","1,505.2974712","1,637.3323608","1,736.4176158","1,903.2426098"
Gabon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2.4755678,2.5577166,2.4209752,2.8408711,2.5328212,2.6574378,3.1076975,2.7807460
Gabon,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,25.5056477,27.7315292,28.0047627,28.5930195,28.1298103,25.9046593,22.5508919,25.1563911
Gabon,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,1.1402396,1.0878131,0.4820224,0.3693906,0.9994112,0.8210143,0.6877261,0.6082381
Gabon,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1.5732567,1.5855839,1.4828582,1.8230286,1.5166876,1.5654931,2.0105503,1.7597996
Gabon,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,23.0906925,21.7408695,23.9496079,34.6745644,23.7554703,22.2533207,21.8477078,18.1140842
Gabon,Gross Domestic Product (GDP) per Capita in PPP Int$,,"15,041.5917283","15,893.5113653","16,469.4059406","17,114.4374690","17,623.9054929","17,981.1969295","18,092.9541188","17,966.8697528"
Gambia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3.3506274,4.0144172,3.9242528,4.0646401,3.4564705,3.0999494,2.9556510,3.2820714
Gambia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,20.9810238,21.1079388,21.0333595,20.2505302,24.6668167,23.4721355,23.5784626,22.0314083
Gambia,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,34.5398140,31.6980934,30.3990212,48.2640038,49.3273621,45.3683777,41.8335228,41.9955635
Gambia,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1.0764831,1.3762666,1.4836856,1.0733763,0.7517048,0.5339346,0.6085501,0.7513607
Gambia,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,13.7764931,16.6864986,19.0115223,17.7841969,18.5364933,19.3536949,19.8830872,24.5491200
Gambia,Gross Domestic Product (GDP) per Capita in PPP Int$,,"2,758.9545137","2,372.3937847","2,486.6833772","1,643.5068941","1,608.2308969","1,668.8151839","1,643.3004001","1,699.1090651"
Ghana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4.6078095,4.6742678,4.1176791,4.6230054,4.1004481,4.6217146,3.4615774,3.2623704
Ghana,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,33.2005959,35.5645485,39.5958633,38.8757095,45.0506401,35.8030624,37.8237267,40.2916985
Ghana,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,8.8203316,9.3354721,8.2419720,16.4674072,15.6900902,24.9317341,12.7974730,14.4953966
Ghana,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2.3839979,2.3682659,1.9841187,1.8749145,1.4382982,1.6214004,1.3277072,1.0919285
Ghana,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,20.0110397,19.5997677,22.1127205,21.7088547,21.4047203,18.9463368,20.3085403,18.0020332
Ghana,Gross Domestic Product (GDP) per Capita in PPP Int$,,"4,009.1538490","4,615.9958815","4,987.7847045","3,948.4588016","4,045.1133405","4,083.4713025","4,175.9963771","4,501.8461544"
Guinea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3.0187218,3.7895508,3.5039830,3.4607968,4.7809768,5.8092060,5.3407393,4.1230869
Guinea,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,65.1871643,59.9856453,62.3992920,61.9059868,58.3592529,49.3524056,49.7618141,56.6835480
Guinea,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,22.0290356,25.9008141,21.9863529,22.5837269,18.4985256,23.4626293,27.2330399,13.9416990
Guinea,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0.3625516,0.5103675,0.5143136,0.4885851,0.6106275,0.4293121,0.6568331,0.7083005
Guinea,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,20.4865398,16.0414810,20.0409699,18.6388664,20.1781101,21.7017880,15.9682159,17.2194347
Guinea,Gross Domestic Product (GDP) per Capita in PPP Int$,,"1,543.1643295","1,625.5725930","1,660.0605650","1,775.1637414","1,835.7587352","1,877.8482905","2,045.3573505","2,162.7012743"
Guinea-Bissau,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6.6451201,6.0284662,5.6896749,6.8890786,9.4885531,8.5911531,8.0416269,7.2358689
Guinea-Bissau,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,42.7008171,38.3607101,63.5372620,68.9235153,62.3296394,69.6419678,70.6381912,72.0612030
Guinea-Bissau,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,34.4979897,48.4966316,21.3133621,18.0149097,27.3047829,19.5836010,18.7717114,15.9811420
Guinea-Bissau,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1.2190535,0.5225849,0.5778798,0.6212863,0.7133720,0.6573141,0.5800896,0.5931776
Guinea-Bissau,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,20.5179367,18.2147751,13.7625990,13.1705065,24.7074146,23.6398029,21.6652699,19.7149448
Guinea-Bissau,Gross Domestic Product (GDP) per Capita in PPP Int$,,"1,371.7094858","1,475.3890919","1,440.0534242","1,474.0210134","1,477.5130442","1,544.8282051","1,618.2414088","1,703.8303049"
Kenya,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6.1167526,5.8117008,5.6136975,5.5194216,5.4593358,5.2193856,5.0185762,4.8025432
Kenya,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,30.1785736,30.9661350,31.6043549,32.1320343,29.2218037,26.8980141,24.9997311,24.0433121
Kenya,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,28.8049374,26.3224926,24.3107834,22.6475105,20.0192623,17.9206333,16.2061729,17.8726730
Kenya,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1.7715458,1.7938091,1.8192782,1.8591106,2.0421720,2.1076121,2.1484301,2.0525720
Kenya,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,24.2122555,23.5720844,24.1760292,25.3961468,27.1503811,27.1945953,27.0172291,25.7146397
Kenya,Gross Domestic Product (GDP) per Capita in PPP Int$,,"2,425.2332670","2,556.8723614","2,652.4158526","2,782.3907695","2,909.1984478","3,028.6917315","3,159.5551269","3,293.1643431"
Lesotho,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7.6177335,8.7966185,8.5781899,9.0122185,8.6152039,8.4015551,7.9485035,8.7631588
Lesotho,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,21.5493164,18.2011108,18.7938919,17.4418964,16.5284100,16.2420101,17.5347023,16.6426411
Lesotho,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,17.6931820,24.4668942,21.3035355,23.9896832,16.1444683,19.0423012,17.6306229,20.4370594
Lesotho,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,4.4081049,4.9949226,5.1385570,5.2783141,5.8003688,5.4371238,5.1533866,5.5138054
Lesotho,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,50.9635506,55.4421959,53.6387787,54.0161476,46.6659851,48.2178688,47.2804070,46.6435890
Lesotho,Gross Domestic Product (GDP) per Capita in PPP Int$,,"2,434.1063881","2,553.9675749","2,740.1753459","2,839.9116438","2,918.5177512","2,933.3113055","2,997.0634333","3,030.1905408"
Liberia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8.7942696,9.2275257,8.5921354,8.1883068,9.0628147,10.2897911,9.7958565,8.1553373
Liberia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,51.5801125,48.3350906,45.2058983,47.9286346,51.1111450,47.0289421,46.8787460,45.5063591
Liberia,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,36.1899376,32.1280060,41.1702766,44.1566124,36.4404640,32.6975632,30.1962433,28.7523212
Liberia,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0.7859793,1.4815712,0.8566155,0.3419262,0.8135557,1.1782936,1.3842317,1.4030892
Liberia,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,24.8248253,29.3577976,30.2094822,32.9526939,32.3238754,36.2314262,35.4897766,33.3739357
Liberia,Gross Domestic Product (GDP) per Capita in PPP Int$,,"1,064.3471734","1,139.6204253","1,223.7672677","1,321.3887548","1,317.6021772","1,296.2334217","1,256.0058646","1,283.4667283"
